,coef
lot_frontage,1348.0587899275083
lot_area,48288.43292747856
mas_vnr_area,22951.556750078515
bsmtfin_sf_1,58455.6770949187
bsmtfin_sf_2,4027.2601807065626
bsmt_unf_sf,5460.372122639903
total_bsmt_sf,56770.86644986456
1st_flr_sf,80995.62822866248
2nd_flr_sf,41290.56544833616
low_qual_fin_sf,746.6006432077106
gr_liv_area,81133.45210431672
garage_area,16677.74357414839
wood_deck_sf,15159.321270483708
open_porch_sf,8645.122613907726
enclosed_porch,6016.643512023218
3ssn_porch,10148.188130280421
screen_porch,19301.65020728495
pool_area,5133.402379519173
misc_val,9762.800082553964
age_at_sale,-35591.32656870223
yrs_since_remod,-5643.243505730164
bsmt_full_bath,9323.046955386666
bsmt_half_bath,592.9083499533456
full_bath,15568.420766505044
half_bath,4879.005659522065
bedroom_abvgr,-9349.998598998269
kitchen_abvgr,-2529.4002021058964
totrms_abvgrd,21707.73094706922
fireplaces,13927.387783503955
garage_cars,22555.103515802766
ms_subclass_20,1577.4409191543054
ms_subclass_30,525.7762565875249
ms_subclass_40,5287.4779365402455
ms_subclass_45,9879.626697896574
ms_subclass_50,8362.305700490055
ms_subclass_60,735.3513614190131
ms_subclass_70,5010.697461676485
ms_subclass_75,9506.387081457962
ms_subclass_80,-8968.398356323045
ms_subclass_85,-5213.114328282619
ms_subclass_90,-2617.449136044975
ms_subclass_120,-2505.6124961143173
ms_subclass_150,-10977.60073126697
ms_subclass_160,-4497.654147602231
ms_subclass_180,-6359.452315707222
ms_subclass_190,238.6520325486014
ms_zoning_A (agr),-9770.403783809674
ms_zoning_C (all),-7269.212789828603
ms_zoning_FV,8364.259570745166
ms_zoning_I (all),-4773.670213232596
ms_zoning_RH,8552.286978393438
ms_zoning_RL,4702.938327915189
ms_zoning_RM,178.23584624628822
street_Grvl,-2426.9568705659217
street_Pave,2411.3908069955455
alley_Grvl,-233.69267828746794
alley_Pave,-1448.1181486325559
alley_no_access,1666.2447633494473
land_contour_Bnk,-1171.6284115522951
land_contour_HLS,8888.193874518938
land_contour_Low,-4760.227145618143
land_contour_Lvl,-2971.9043809190907
lot_config_Corner,2651.584410654546
lot_config_CulDSac,8444.005609486267
lot_config_FR2,-2885.414815984729
lot_config_FR3,-10918.583683014636
lot_config_Inside,2692.842415287963
neighborhood_Blmngtn,54.5011205984763
neighborhood_Blueste,-2511.349134158439
neighborhood_BrDale,1779.9226017737428
neighborhood_BrkSide,1088.8917752710752
neighborhood_ClearCr,5601.32393970053
neighborhood_CollgCr,-8694.974986244728
neighborhood_Crawfor,7760.058591997134
neighborhood_Edwards,-12604.21400669783
neighborhood_Gilbert,-7823.031416721569
neighborhood_Greens,-1333.4572126758471
neighborhood_GrnHill,21955.28646916456
neighborhood_IDOTRR,-1511.380595335403
neighborhood_Landmrk,-5318.723227964112
neighborhood_MeadowV,-10263.43333779738
neighborhood_Mitchel,-7447.920123066942
neighborhood_NAmes,-6679.292945463261
neighborhood_NPkVill,1706.244283106912
neighborhood_NWAmes,-7252.253231360074
neighborhood_NoRidge,24954.133620694014
neighborhood_NridgHt,13171.222569949501
neighborhood_OldTown,-6935.24493714223
neighborhood_SWISU,-8783.836458544874
neighborhood_Sawyer,-3899.6922144285086
neighborhood_SawyerW,-5530.764940488661
neighborhood_Somerst,5621.15495772655
neighborhood_StoneBr,16924.11884283643
neighborhood_Timber,-5656.808529077834
neighborhood_Veenker,1613.9524607797828
condition_1_Artery,-6935.31378621783
condition_1_Feedr,-1355.4813175733414
condition_1_Norm,2548.3548523573686
condition_1_PosA,11029.691105687774
condition_1_PosN,11705.462445319095
condition_1_RRAe,-10577.697701806692
condition_1_RRAn,-984.8099597289676
condition_1_RRNe,2355.353564179124
condition_1_RRNn,-7801.125265786913
condition_2_Artery,-11001.950212867192
condition_2_Feedr,-3320.6048006152205
condition_2_Norm,7586.788666571686
condition_2_PosA,14058.290021050721
condition_2_PosN,-10969.068164688768
condition_2_RRAn,-2624.761149812922
condition_2_RRNn,6255.739576790796
bldg_type_1Fam,9625.119193282479
bldg_type_2fmCon,1827.9854370192206
bldg_type_Duplex,-2617.449136044975
bldg_type_Twnhs,-6776.208564102112
bldg_type_TwnhsE,-2075.0129937256966
house_style_1.5Fin,-5543.387646283747
house_style_1.5Unf,-4520.41822066857
house_style_1Story,1504.019429695752
house_style_2.5Fin,6008.737787484934
house_style_2.5Unf,-5341.5945359085
house_style_2Story,-827.0023495076019
house_style_SFoyer,4315.409298733147
house_style_SLvl,4388.670172883903
roof_style_Flat,2860.245940095258
roof_style_Gable,54.01295178567646
roof_style_Gambrel,-924.7242290301074
roof_style_Hip,2287.893553959368
roof_style_Mansard,-3279.6107956984874
roof_style_Shed,-1013.3834846823702
roof_matl_ClyTile,-10977.48322303861
roof_matl_CompShg,-3129.8858792685896
roof_matl_Membran,10977.582447034876
roof_matl_Tar&Grv,-11106.59286274129
roof_matl_WdShake,-4035.7473541113472
roof_matl_WdShngl,18256.560808554354
exterior_1st_AsbShng,3633.9368836680146
exterior_1st_AsphShn,3508.9263635819707
exterior_1st_BrkComm,-9688.880624531334
exterior_1st_BrkFace,11480.793488711864
exterior_1st_CBlock,1659.8546449916712
exterior_1st_CemntBd,2100.0806972581986
exterior_1st_HdBoard,-2333.8908117909245
exterior_1st_ImStucc,-3950.974698618378
exterior_1st_MetalSd,-1264.8213399710958
exterior_1st_Plywood,825.4667199305842
exterior_1st_Stone,3950.9990462406554
exterior_1st_Stucco,-242.02890231996605
exterior_1st_VinylSd,-5236.969118210543
